Sign,segment,url,FingerSelection,Aperture,Curve,Bent,Width,Facing,Focus,Dynamic Orientation,Location,Plane,Settings,Path,Paddle,H2 FingerSelection,H2 Aperture,H2 Curve,H2 Bent,H2 Width,H2 Facing,H2 Focus,H2 Dynamic Orientation,H2 Location,H2 Plane,H2 Settings,H2 Path,H2 Paddle,manner_tense,manner_repeated,manner_laceration,manner_symmetrical,manner_alternating,manner_biderectional,file,labeled_url,iconic,Anna_Klezovich_comments
обучать,1,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data//6649--обучать--обучать.mp4?raw=true,"[1-st,2-nd]",closed,straight,bent,pointed,root,tips,,hand-narrow,horisontal,proxi-distal,straight,,,,,,,palm,,,,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,обучать--обучать,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data//6649--обучать--обучать.mp4?raw=true' target='_blank'>обучать</a>,non iconic,
убежать,1,"https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data//7463--убежать, испариться--MVI_7438.mp4?raw=true","[1-st,2-nd]",closed-open,curved-straight,bent-straight,pointed-wide,back,tips,,hand-palm,horisontal,proxi-distal,straight,,,,,,,palm,,,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"убежать, испариться","<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data//7463--убежать, испариться--MVI_7438.mp4?raw=true' target='_blank'>убежать</a>",iconic,
"отслеживать, мониторить",1,"https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/7539--отслеживать, мониторить--MVI_7543.mp4?raw=true","[1-st,2-nd]",,straight,straight,wide,tips,palm,,space,parallel,"high-low,contra-ipsi,ipsi-contra",straight,,,,,,,,,,,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"отслеживать, мониторить","<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/7539--отслеживать, мониторить--MVI_7543.mp4?raw=true' target='_blank'>отслеживать, мониторить</a>",iconic,
"отслеживать, мониторить",2,"https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/7539--отслеживать, мониторить--MVI_7543.mp4?raw=true","[1-st,2-nd]",,straight,straight,wide,tips,ulnar,,space,parallel,"high-low,contra-ipsi,ipsi-contra",straight,,,,,,,,,,,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"отслеживать, мониторить","<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/7539--отслеживать, мониторить--MVI_7543.mp4?raw=true' target='_blank'>отслеживать, мониторить</a>",iconic,
"отслеживать, мониторить",3,"https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/7539--отслеживать, мониторить--MVI_7543.mp4?raw=true","[1-st,2-nd]",,straight,straight,wide,tips,radial,,space,parallel,"high-low,contra-ipsi,ipsi-contra",straight,,,,,,,,,,,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"отслеживать, мониторить","<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/7539--отслеживать, мониторить--MVI_7543.mp4?raw=true' target='_blank'>отслеживать, мониторить</a>",iconic,
хихикать,1,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/7902--хихикать--MVI_8000.mp4?raw=true,"[1-st,2-nd]",,curved,straight,wide,tips,tips,,head-low,,far-near,straight,,,,,,,,,,,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,хихикать,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/7902--хихикать--MVI_8000.mp4?raw=true' target='_blank'>хихикать</a>,iconic,
шептаться,1,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/8126--ворчать--MVI_8295.mp4?raw=true,"[1-st,2-nd]",open-closed,straight,straight,pointed,radial,,,head-low,,,,,,,,,,,,,,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,ворчать,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/8126--ворчать--MVI_8295.mp4?raw=true' target='_blank'>шептаться</a>,iconic,
вредить,1,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/8285--вредить--MVI_8515.mp4?raw=true,"[1-st,2-nd]",,straight,straight,pointed,ulnar,back,,hand-narrow,sagittal,proxi-distal,straight,,,,,,,,,,,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,вредить,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/8285--вредить--MVI_8515.mp4?raw=true' target='_blank'>вредить</a>,non iconic,
прерывать,1,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/9026--прерывать--MVI_9695.mp4?raw=true,"[1-st,2-nd]",,curved,straight,wide,tips,ulnar,,hand-classifier,parallel,high-low,straight,,,,,,,,,,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,прерывать,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/9026--прерывать--MVI_9695.mp4?raw=true' target='_blank'>прерывать</a>,iconic,
видеть раздражать,1,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/9084--раздражать--MVI_9769.mp4?raw=true,"[1-st,2-nd]",closed-open,straight,straight,,tips,tips,,head-mid,,"far-near,near-far",straight,,,,,,,,,,,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,раздражать,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/9084--раздражать--MVI_9769.mp4?raw=true' target='_blank'>видеть раздражать</a>,non iconic,
